sentence,emotion
think nicely sums feeling talking much artistic pursuits,0
need find ways feel pretty,0
see forms not yet feel agitated,1
feel bad babel day accidentally jalapeno babel,1
somewhat difficult time trying find something feel thankful,0
started feeling nervous thinking id planned feed younger tens,1
begin not feel uncomfortable internally feeling caseous light headed experienced shortness breath,1
want feel loved cherished someone,0
needed plan get rid feeling totally taking everything totally distracted work everything trying free time note evenings projects taking life fact totally feel burnt,1
feel resentful give,1
celebrate year feel supporting note history behind traditional holidays based ugly stuff least lot cases lot stuff not believe support,0
feeling defeated like could not continue reluctantly asked epidural,1
predicted angle win feeling slightly less grumpy wrote lets say gallows wins clean keep things tight,1
felt next step not want doubtful feel dumb keeping hope much money come short time,1
love community death sometimes feel times agent suppurative,0
left tonight feeling hopeful future orphan crisis country,0
sing confident feel still get little nervous opening night,1
feel really cut pirate girl note somewhat cut landlubber sort,0
decided try airline picnic grove since feeling bit adventurous day,0
know wrong feel ugly,1
dear not express feelings way acceptable,0
feel people not know fish properly therefore not popular,0
found feeling jealous though,1
feeling horses cooped determined got even little stretch weather going see every horse got chance get outside,0
excited get home spend time everyone please feel free email call text let know available dinner coffee anything,0
feel clearer joyful alive,0
feeling adventurous,0
left integrity dignity intact feeling passed,1
known letting things go not feeling good,0
felt doubtful image popped mind dealing big knot solace feeling frustrated,1
feeling boring,1
ill feel troubled trivial matters,1
told never wanted rot hell time wished less stupid clumsy never ever feel unhappy,1
use emotions would awkward writing feeling amused writing right opposed,0
feel like lost everything everyone,1
feel really wronged commodore,1
not however feel loss officer nicholsons life tragic note death young mother whose murder started whole scenario motion,1
feel like death think feeling like death make compassionate psychologist,0
feel like bit rushed,1
feeling adventurous took stairs,0
feel guilty not everything use feel worried bad officer,1
wear shirt feel artistic artistic look artistic yes son,0
sure know feeling not gathered feel,1
not id like chicken feeling insecure maybe doubting fact able run km tomorrow,1
feel though art romantic comedy deteriorated late draw not moves like sabine nothing hill love actually,0
id get class eight dance hour nine get home ten lucky eat not eat class dancing full makes feel vile sit around digesting etc get bed try sleep getting unnaturally early,1
feeling confident able get back door dinner time,0
look forward feeling better write often,0
feel play feeling maybe want broke hearts,1
closed eyes tightly covered ears thank god woke apologize brutally nightmare left feeling shaken caseous say least,1
feel terribly helpless sometimes even limited spiritual awareness able find answers know end not outcome decision able move readjusted pick pieces centre enjoy decision,1
actually happy hear id feeling unnaturally exhausted lately hopefully help,1
knew shaking many reasons big one since cyst drama started get cold fast feel drained,1
overlay passionate love music makes feel connect songs artists amazed truly awe write song touches,0
feeling note lap divine mother holding soft tender arms,0
let fall asleep earlier afternoon feeling extremely thirty,1
feel relaxed playing carl clarke says,0
never got full feeling except couple times ate sweet potatoes trust eating lot,0
asked no one gift go sister house everyone gathers holiday feel impolite show empty handed,1
